"Imported Companies","Created At","Updated At","Enrich LI Company","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL","Telephone","Scrape Website"
,"2025-01-08T07:32:15.456Z","2025-01-08T08:00:46.497Z","SparkMeter","SparkMeter","SparkMeter offers comprehensive low-cost metering solutions for everything from rural micro-grids to existing urban central grid utilities. Our products help make access to electricity possible in hard-to-reach places and underserved markets. Our metering system is being widely adopted by utilities serving customers in rural parts of Asia, Sub-Saharan Africa, and Latin America and the Caribbean.

We believe electricity and the services derived from it unlock and create the opportunity for underserved communities to achieve great things. As a main driver of economic growth and human development, we’ve seen time and time again how access to clean, reliable, electricity transforms people’s lives.","Utilities","11-50 employees","Privately Held","Washington, DC","United States","sparkmeter.io","https://www.linkedin.com/company/sparkmeter",,"✅ sparkmeter.io"
,"2025-01-08T07:32:15.456Z","2025-01-08T08:00:46.497Z","Northeast Gas Association","Northeast Gas Association","The Northeast Gas Association (NGA) is a regional trade association that focuses on education and training, technology research and development, operations, planning, and increasing public awareness of natural gas in the Northeast U.S. NGA represents natural gas distribution companies, transmission companies, liquefied natural gas importers, and associate member companies. These companies provide natural gas to more than 13 million customers in nine states (Connecticut, Maine, Massachusetts, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island and Vermont).
 
NGA was established on January 1, 2003. Its predecessor organizations were The New England Gas Association (founded in 1926) and the New York Gas Group (founded in 1973).

Its headquarters are in Westborough, Massachusetts; its R&D entity, NYSEARCH, is located in northern New Jersey.","Utilities","11-50 employees","Non Profit","Westborough, Massachusetts","United States","northeastgas.org","https://www.linkedin.com/company/northeast-gas-association",,"✅ northeastgas.org"
,"2025-01-08T07:32:15.456Z","2025-01-08T08:00:48.685Z","VODA.ai","VODA.ai","Manage your pipes effortlessly. VODA.ai is a software-as-a-service company helping utilities create project plans for mains and service lines with daVinci - the industry's most powerful AI engine that ranks pipes by Business Risk Exposure within 12 months and up to 20 years. The award winning solution offers a comprehensive set of tools - LoF, CoF, BRE, RUL, Insights, LeadFinder, LeadZero and Planner for Condition Assessment, Monitoring, Replacements, and Rehabilitation.","Utilities","11-50 employees","Privately Held","Boston, MA","United States","voda.ai","https://www.linkedin.com/company/voda-ai",,"✅ voda.ai"
,"2025-01-08T07:32:15.456Z","2025-01-08T08:00:46.095Z","ECG","ECG","Electric Cities of Georgia (ECG) is a non-profit organization serving 52 public power members in Georgia. ECG provides strategic and technical services to our members to maximize the performance of their utilities and, to a greater extent, create successful communities with economic prosperity and opportunity.
Our services include Engineering & Energy Services, Training & Safety, Joint Purchasing, Aggregated Services (e.g. bidding on Tree Trimming, Meter Testing, and Pole and Padmount Inspection), Pole Attachment Services, Hosted Solutions (cloud-based software to handle Inventory, Work Order/Fixed Asset Management and Outage Tracking), Analytical Services, Legislative & Regulatory, Economic & Community Development, and AMI Smart Metering project management.","Utilities","11-50 employees","Non Profit","Atlanta, GA","United States","ecoga.org","https://www.linkedin.com/company/electric-cities-of-georgia",,"✅ ecoga.org"
,"2025-01-08T07:32:15.456Z","2025-01-08T08:00:46.095Z","Peninsula Clean Energy","Peninsula Clean Energy","Peninsula Clean Energy is the official electricity provider to San Mateo County and the City of Los Banos.

Peninsula Clean Energy offers low rates and the added benefit of two electricity options, each with a different percentage of sustainable energy.

We are currently seeking highly qualified and enthusiastic individuals to fill a variety of positions. If you’re passionate about sustainability and the local environment, we want to hear from you! Be sure to check back in with us often as new positions become available.","Utilities","11-50 employees","Government Agency","Redwood City, CA","United States","pencleanenergy.co","https://www.linkedin.com/company/pencleanenergy",,"✅ pencleanenergy.co"
,"2025-01-08T07:32:15.456Z","2025-01-08T08:00:46.095Z","National Rural Water Association (NRWA)","National Rural Water Association (NRWA)","The National Rural Water Association, with its affiliated State Rural Water Associations, is the largest water and wastewater utility membership organization in the United States of America. NRWA and its State Associations represent more than 31,000 water and wastewater utility members.
 
The association provides training, technical assistance and source water protection assistance to the rural and small utilities which comprise 94 percent of the nation’s community water supplies. This assistance is supported by the United States Congress and is provided in partnership with the USDA’s Rural Utilities Service, the Farm Service Agency, and the Environmental Protection Agency.
 
The NRWA and State Rural Water Associations also represent rural and small utilities in the regulatory and legislative process.

NRWA provides certification, on-line training and continuing education in live and on-demand formats through its WaterPro Academy (www.nrwa.org/waterproacademy/). The association also hosts the WaterPro Conference (www.waterproconference.org). NRWA members also have access to the largest online community of water professionals through the NRWA Community (www.community.nrwa.org).","Utilities","11-50 employees","Non Profit","Duncan, OK","United States","nrwa.org","https://www.linkedin.com/company/national-rural-water-associaiton",,"✅ nrwa.org"
,"2025-01-08T07:32:15.456Z","2025-01-08T08:00:45.526Z","Damage Prevention Solutions","Damage Prevention Solutions","We are an innovative manufacturer of damage prevention and location systems for underground utilities. Our marking and warning tapes feature proprietary technologies and were developed to address the gaps in existing products and methods of locating and protecting buried infrastructure. 

Our products include Signaltape Underground Warning Tape and Tracetape Detectable Marking Tape. Learn more about our product offerings and customization options at damageprevention.com/products","Utilities","11-50 employees","Privately Held","Charlottesville, Virginia","United States","damageprevention.com","https://www.linkedin.com/company/damagepreventionsolutions",,"✅ damageprevention.com"
,"2025-01-08T07:32:15.456Z","2025-01-08T08:00:46.883Z","Global Power Supply","Global Power Supply","Global Power Supply (GPS) is a full service provider of new and used power systems including used industrial diesel generators, natural gas generators, genset enclosures, UPS backup power systems, automatic transfer switches (ATS), electrical transformers and electrical switchgear.

We are a full-service provider and deliver on fast-track projects. In business for over 18 years, we have differentiated ourselves by designing custom engineered solutions to meet your facility's critical infrastructure power system needs. Through detailed submittals, we streamline contractor execution including removal and decommissioning of assets, coordination of temporary power, custom fabrication of generator enclosures, and logistics of industrial equipment.

We own and sell new and used industrial generators from diverse manufacturers like Caterpillar, Cummins, MTU Onsite Energy, Waukesha, MQ Power, Hipower, Bluestar, Toshiba, Mitsubishi, Eaton and more. Combined with high quality fully tested used, refurbished and surplus equipment, we are a multi-vendor solution provider to commercial and industrial facilities nationwide.

Our power solutions team maintains and supports emergency standby generators and UPS systems for critical facilities like data centers, hospitals, surgical centers, telecom, water treatment, state county and local municipalities, wineries, and industrial farming. Get in-house engineering and design services including alternative energy projects, microgrid, and battery energy storage configurations. Get the answers you need to achieve renewable integration.


(800) 706-0906 Sales
www.globalpwr.com","Utilities","11-50 employees","Privately Held","Santa Barbara, California","United States","globalpwr.com","https://www.linkedin.com/company/global-power-supply",,"✅ globalpwr.com"
,"2025-01-08T07:32:15.456Z","2025-01-08T08:00:46.497Z","Kitu Systems, Inc.","Kitu Systems, Inc.","Kitu Systems accelerates consumer adoption of solar, battery storage, and electric vehicle charging by enabling a new generation of interconnection and providing communications and coordination capabilities to energy networks.  Kitu Systems software and SaaS solutions embed intelligence and control capabilities into renewable energy devices, aggregate their communication in the cloud, and securely interconnect them with utility and customer management systems.  Kitu Systems’ open and standards-based software platform provides the buildings blocks of new energy networks that are intelligent, resilient, adaptive, efficient and scalable.","Utilities","11-50 employees","Privately Held","San Diego, California","United States","kitu.io","https://www.linkedin.com/company/kitu-systems-inc-",,"✅ kitu.io"
,"2025-01-08T07:32:15.456Z","2025-01-08T08:00:46.095Z","DataRaker, Inc.","DataRaker, Inc.","DataRaker’s mission is to harness all of the new terabytes of data produced by ""smart"" meters, combine them with legacy systems and other useful data to provide context, and distill it into useful information that can help utility staff and customers control costs from the power plant to the light switch.","Utilities","11-50 employees","Privately Held","San Francisco, CA","United States","dataraker.com","https://www.linkedin.com/company/dataraker-inc.",,"✅ dataraker.com"
,"2025-01-08T07:32:15.456Z","2025-01-08T08:00:46.497Z","Resonant Link","Resonant Link","Resonant Link delivers the fastest and easiest-to-use wireless power for applications big to small, from industrial electric vehicles to tiny implantable medical devices, to help people, businesses, and the planet thrive. Resonant Link is headquartered in South Burlington, Vermont, and has dozens of customers in healthcare, electric vehicles, logistics, and more, including the leading brands and government agencies.

For more about Resonant Link, contact: info@resonant-link.com","Electric Power Transmission, Control, and Distribution","11-50 employees","Privately Held","South Burlington, Vermont","United States","resonant-link.com","https://www.linkedin.com/company/resonant-link-wpt",,"✅ resonant-link.com"
,"2025-01-08T07:32:15.456Z","2025-01-08T08:00:45.526Z","Sharyland Utilities, L.L.C.","Sharyland Utilities, L.L.C.","Sharyland Utilities, L.L.C. is a Texas-based electric transmission utility that is fully regulated by the Public Utility Commission of Texas. We are committed to providing safe and reliable transmission services, ensuring operational excellence, and investing to support the infrastructure needs of the Electric Reliability Council of Texas grid.","Utilities","11-50 employees","Privately Held","Dallas, Texas","United States","sharyland.com","https://www.linkedin.com/company/sharyland-utilities-l-p-",,"✅ sharyland.com"
,"2025-01-08T07:32:15.456Z","2025-01-08T08:00:49.567Z","ECE","ECE","ECE is a team of professionals that take pride in what we do and consistently offer advanced and efficient solutions for executing all designs and projects as a client-focused company.  Our engineers and technicians are experienced with the latest software such as AcSELerator, AutoCAD, LightTable, PLS-CADD and WindMil.  We continually strive to exceed expectations with integrity, loyalty and competence. 

ECE has many qualified personnel with licensing as Professional Engineers.  ECE has personnel with PE licensure in the states of Georgia, North Carolina, South Carolina, Tennessee and Virginia.","Utilities","11-50 employees","Privately Held","Matthews, North Carolina","United States","ecepower.com","https://www.linkedin.com/company/electrical-consulting-engineers-inc.",,"✅ ecepower.com"
,"2025-01-08T07:32:15.456Z","2025-01-08T08:00:43.391Z","Distributed Power Solutions","Distributed Power Solutions","Distributed Power Solutions serves a global client base to bring turnkey service to the distributed power needs across all industries. We understand the rigorous demands you face in order to keep your operation up and running – and DPS is ready to support you, anywhere in the world your operations take you. Whether it’s utility base loading, engineered micro-grid, bridge power, or an emergency power generation situation, we have the people and equipment to ensure all your power generation needs are met. Our unmatched product support services include design, engineering, installation, and operation. DPS brings the power of a global network, and the expertise and focus of a specialty rental business, to our global customers in order to solve their temporary power generation needs, safely and efficiently.","Utilities","11-50 employees","Privately Held","Odessa, TX","United States","dpsenergy.com","https://www.linkedin.com/company/distributed-power-solutions",,"✅ dpsenergy.com"
,"2025-01-08T07:32:15.456Z","2025-01-08T08:00:43.022Z","American Pipeline Solutions","American Pipeline Solutions","We are a pipeline services company specializing in cleaning, assessing, coating, and mapping every type of pipeline. We operate across the country and Canada, with international partnerships that allow us to deliver the latest technology solutions to our clients.","Utilities","11-50 employees","Privately Held","Hackensack, NJ","United States","americanpipelinesolutions.com","https://www.linkedin.com/company/american-pipeline-solutions",,"✅ americanpipelinesolutions.com"
,"2025-01-08T07:32:15.456Z","2025-01-08T08:00:44.175Z","Utility Solutions Group","Utility Solutions Group","Utility Solutions Group is a manufacturer of utility equipment based in the Midwest and serves customers worldwide. We are proud to offer high-quality American made products, including natural gas regulators. It's our goal to make utility infrastructure more dependable and safe for utility customers and employees.  

Our talented team are experts on what utilities need to operate smoothly. Our customers can trust that we take the time to ensure all our products are built to be reliable, function properly, and to last for years out in the field. Our dedicated team works diligently to fulfill orders with the shortest lead time possible.","Utilities","11-50 employees","Privately Held","Columbus, Ohio","United States","my-usg.com","https://www.linkedin.com/company/utility-solutions-group",,"✅ my-usg.com"
,"2025-01-08T07:32:15.456Z","2025-01-08T08:00:43.022Z","Holland Supply Company","Holland Supply Company","Holland Supply Company sells gas products and solutions to the natural gas industry and has built a strong reputation throughout its 50+ year history. We primarily serve natural gas utilities, as well as commercial and industrial clients with high quality gas measurement and control devices. Our customers rely on us for our technical expertise and immediate availability of long lead-time products. Because we hold such a large inventory of product and the tenure of our staff, we are able to provide not only a better solution, but we can also offer it faster than anyone else.","Utilities","11-50 employees","Privately Held","Lewis Center, Ohio","United States","hollandsupplycompany.com","https://www.linkedin.com/company/holland-supply-company",,"✅ hollandsupplycompany.com"
,"2025-01-08T07:32:15.456Z","2025-01-08T08:00:43.697Z","David Energy","David Energy","Electricity that powers what’s next. 

It’s time to bring energy into the 21st century. David Energy is an electricity company built on technology to help homes and businesses run efficiently, at lower cost, and on cleaner power.

Our software integrates with smart devices like batteries, smart thermostats, and electric vehicles – bridging the gap between existing electricity infrastructure and modern technology to use renewable sources to their fullest potential. This makes electricity cheaper, cleaner, and more reliable, while giving you more convenience and control over the power you use every day.

Simply put, we’re here to make electricity better. To give you the confidence to focus on what’s next – not worry about how to power it. For lower bills, peace of mind, and lights that always stay on.","Electric Power Transmission, Control, and Distribution","11-50 employees","Privately Held","New York, New York","United States","davidenergy.com","https://www.linkedin.com/company/david-energy",,"✅ davidenergy.com"
,"2025-01-08T07:32:15.456Z","2025-01-08T08:00:43.391Z","Buzz Solutions","Buzz Solutions","Buzz Solutions provides a platform for teams to manage and analyze data, collaborate, and export inspection results, fostering smart, stable, and resilient infrastructure inspections. We automate the process of infrastructure inspections for faults and anomalies by analyzing millions of visual data points captured by helicopters, drones and linemen in the field. Using our solution, our customers are saving immense time and money as a part of their inspections, while drastically improving the efficiency of their infrastructure inspections.","Utilities","11-50 employees","Privately Held","Palo Alto, CA","United States","buzzsolutions.co","https://www.linkedin.com/company/buzzsolutionsinc.",,"✅ buzzsolutions.co"
,"2025-01-08T07:32:15.456Z","2025-01-08T08:00:44.175Z","utiliVisor","utiliVisor","Building owners and Facility directors don’t have time to waste on partial strategies that don’t create energy savings. Systems that don’t consider the whole picture often result in silos of inefficiency.  Energy efficient solutions overcome these silos to generate and retain maximum energy efficiency.

It’s time to invest in actionable solutions. 

utiliVisor leverages real-time data, to provide building owners with comprehensive monitoring and metering solutions.  Our four-step energy management system takes the guesswork out of energy efficiency to give you the specific strategies that reduce costs while optimizing equipment.

At utiliVisor, we know that energy efficient buildings make sense environmentally and economically.

Get your specific solution at utiliVisor.com.","Utilities","11-50 employees","Privately Held","New York, New York","United States","utilivisor.com","https://www.linkedin.com/company/utilivisor",,"✅ utilivisor.com"
,"2025-01-08T07:32:15.456Z","2025-01-08T08:00:43.391Z","San Diego Community Power","San Diego Community Power","San Diego Community Power is a not-for-profit public agency bringing you cleaner energy at competitive rates.

We provide reliable, affordable electricity to nearly 1 million customer accounts in the Cities of San Diego, Chula Vista, Encinitas, La Mesa, Imperial Beach and National City, as well as the unincorporated communities of San Diego County.","Utilities","11-50 employees","Government Agency","San Diego","United States","sdcommunitypower.org","https://www.linkedin.com/company/san-diego-community-power",,"✅ sdcommunitypower.org"
,"2025-01-08T07:32:15.456Z","2025-01-08T08:00:45.526Z","Archer","Archer","We help our clients develop and implement security and reliability solutions, mature regulatory compliance programs, and develop effective technology blueprints. Through our services, utilities assure compliance with new and ever-changing regulations and improve the security and resiliency of critical infrastructure while increasing operational efficiency.

With decades of combined experience in operational and information technology, we have the knowledge and skills necessary to help your organization tackle the most difficult reliability projects. We specialize in NERC Reliability Standard Compliance solutions (e.g., NERC CIP Standards; Operations and Planning Standards) with former NERC/FERC auditors on staff and several others that have served in senior management and technology roles at energy utilities.","Utilities","11-50 employees","Public Company","Clackamas, OR - Oregon","United States","archerint.com","https://www.linkedin.com/company/archer-energy-solutions-llc",,"✅ archerint.com"
,"2025-01-08T07:32:15.456Z","2025-01-08T08:00:46.883Z","Utilities Technology Council","Utilities Technology Council","The Utilities Technology Council is a global trade association representing electric, water, and natural gas utilities of all kinds in their pursuit of resilient telecommunications networks needed to underpin the delivery of critical utility services.

UTC's almost 400 member utilities represent utilities of all sizes and ownership types, including the largest investor-owned utilities to the smallest rural cooperative and public power utilities throughout the U.S. Our diverse membership all build, maintain, own, and operate private telecommunications networks that enable greater reliability, grid modernization, and the deployment of distributed resources. 

In addition, numerous UTC utility members are deploying broadband connectivity to their communities and beyond. UTC assists its members through advocacy, meetings, education, and much more.","Utilities","11-50 employees","Non Profit","Arlington, Virginia","United States","utc.org","https://www.linkedin.com/company/utilities-technology-council",,"✅ utc.org"
,"2025-01-08T07:32:15.456Z","2025-01-08T08:00:43.391Z","A-Rent Test Equipment","A-Rent Test Equipment","A-Rent offers a multimillion-dollar fleet of test equipment from top OEMs, including Doble, Omicron, Megger, Fluke and HV Diagnostics, and an advanced cloud-based ERP system to enable smooth rental logistics and asset management. 

A-Rent offers NIST-traceable calibration services for a wide range of electrical test equipment on a 3 day turnaround time. Optional adjustment, repair and firmware upgrade services are also available for many items.

A-Rent prides itself on having the youngest rental fleet in the industry and our equipment is functionally tested on specimen apparatus before each rental. A-Rent is the source for the equipment and expertise you need to support your testing of relays, transformers, cabling, circuit breakers and more.","Utilities","11-50 employees","Privately Held","Burr Ridge, Illinois","United States","a-rent.com","https://www.linkedin.com/company/a-rent-test-equipment",,"✅ a-rent.com"
,"2025-01-08T07:32:15.456Z","2025-01-08T08:00:45.078Z","LAND Energy","LAND Energy","The evolution of energy use through humanscale, connected batteries.","Electric Power Generation","11-50 employees","Partnership","Cleveland, Ohio","United States","landmoto.io","https://www.linkedin.com/company/landmoto",,"✅ landmoto.io"
,"2025-01-08T07:32:15.456Z","2025-01-08T08:00:43.697Z","PuriChem","PuriChem","PuriChem is an engineering company specialized in design and implementation of integrated water treatment systems for various applications in the following fields:

-Process water Purification & Filtration units.
-Ion Exchange units and media.
-Desalination systems and accessories.
-Various filtration and purification media.
-Central potable water Purification units.
-Water disinfection systems.
-Water treatment chemicals and control systems.
-Industrial waste water treatment systems.
-Accessories for industrial and laboratories applications.

Systems engineered by PuriChem are designed according to the latest up to-date techniques and represent the world's best manufactures in water treatment industry. We offer our clients: Evaluations for new & existing systems including Design Details & Recommendations. Technical Training, & 24/7 Technical Support.","Utilities","11-50 employees","Privately Held","Roushdy, Alexandria","United States","purichem-eg.com","https://www.linkedin.com/company/purichem",,"✅ purichem-eg.com"
,"2025-01-08T07:32:15.456Z","2025-01-08T08:00:44.175Z","Wildcat Power Gen","Wildcat Power Gen","Leading The Charge To Provide Better Power

Wildcat Power Gen is an American manufacturer of power generation products that is leading the charge by providing better power solutions.

The Wildcat product line is designed for commercial and military applications and engineered for a 10,000+ hour lifecycle.    

We believe that power solutions are an investment, not just an expense.  Wildcat Power Gen, together with our Wildcat Channel Partners, will help you choose the right Wildcat generator and Provide Better Power.","Electric Power Generation","11-50 employees","Privately Held","Wichita, Kansas","United States","wildcatpowergen.com","https://www.linkedin.com/company/wildcatpowergen",,"✅ wildcatpowergen.com"
,"2025-01-08T07:32:15.456Z","2025-01-08T08:00:42.669Z","Envirosight","Envirosight","When cities and contractors need to understand the condition of sewer infrastructure, they turn to technology from Envirosight. Simple to use, yet delivering powerful insight, our inspection solutions pinpoint obstructions, defects and failures in sewer assets. Using this information, cities can plan the cleaning and repair work necessary to maintain regulatory compliance and ratepayer satisfaction.

Focused on innovation and productivity, Envirosight products support remote teams, allowing inspection results to be shared securely on the cloud to enable advanced analytics and system-wide planning. Our full lineup of technologies includes sewer inspection trucks and crawler systems, zoom survey cameras, HD video nozzles, push cameras, automated manhole scanners and enterprise-scale asset management software. Envirosight supports customers through a nationwide network of regional training, support and service locations.","Utilities","11-50 employees","Privately Held","Randolph, NJ","United States","envirosight.com","https://www.linkedin.com/company/envirosight",,"✅ envirosight.com"
,"2025-01-08T07:32:15.456Z","2025-01-08T08:00:36.615Z","Fern Engineering, Inc.","Fern Engineering, Inc.","Since the company's founding in 1967, it has established a worldwide reputation of excellence among users and manufacturers of turbomachinery. Fern Engineering prides itself on being a leading provider of parts & services for GE & Siemens gas turbines.","Utilities","11-50 employees","Self Owned","Wareham, Massachusetts","United States","fernengineering.com","https://www.linkedin.com/company/fern-engineering-inc",,"✅ fernengineering.com"
,"2025-01-08T07:32:15.456Z","2025-01-08T08:00:36.615Z","Godman Power Group Inc.","Godman Power Group Inc.","Godman Power Group Inc. (GPG) is an award-winning power engineering firm, and manufacturer of the Godman GRID portable renewable generators, made in the USA.  Godman supports the US Government, private sector firms, organizations, and governments worldwide. Founded in 2011, the company designs and deploys infrastructure solutions, focused on smart cities technologies.","Electric Power Generation","11-50 employees","Privately Held","Springfield, Virginia","United States","godmanpower.com","https://www.linkedin.com/company/godman-power-group-inc",,"✅ godmanpower.com"
,"2025-01-08T07:32:15.456Z","2025-01-08T08:00:41.274Z","Silicon Valley Clean Energy","Silicon Valley Clean Energy","Motivated by a common interest in taking bold and effective climate action, twelve Santa Clara County communities came together in March 2016 to form Silicon Valley Clean Energy (SVCE), a Community Choice Energy agency.  SVCE  sources clean, competitively-priced electricity on behalf of residents and businesses in the participating jurisdictions of Campbell, Cupertino, Gilroy, Los Altos, Los Altos Hills, Los Gatos, Milpitas, Monte Sereno, Morgan Hill, Mountain View, Saratoga, Sunnyvale and unincorporated Santa Clara County.

SVCE sources carbon-free electricity, at a lower cost – allowing our communities to make large-scale reductions in emissions, while saving residents and businesses money at the same time. In addition, SVCE will advance programs for efficiency, demand management and fuel switching – to clean, carbon-free electricity in the place of fossil fuels used in transportation, buildings and infrastructure.

SVCE maintains a full-time staff, and is governed by a public Board of Directors comprised of an elected official from each member community. Member communities also designate a board alternate.  

By law, the agency is funded through program revenues only, not local government budgets. All revenues are returned to the program and passed on to customers in the form of competitive rates, local clean energy projects and customer programs.","Utilities","11-50 employees","Government Agency","Sunnyvale, CA","United States","svcleanenergy.org","https://www.linkedin.com/company/silicon-valley-clean-energy",,"✅ svcleanenergy.org"
