source_label,source_id,cve_id,relationship_cve_id,severity,exploitability,all_properties
Equipment,,CVE-2022-24521,CVE-2022-24521,,,"{""phase"": ""supply_chain_intelligence_layer"", ""evidence"": ""Direct AFFECTS relationship from CVE"", ""relationship_type"": ""sbom_cve_correlation"", ""cve_id"": ""CVE-2022-24521"", ""confidence_score"": 0.8, ""discovered_date"": ""2025-11-01T13:29:21.296549""}"
Equipment,,CVE-2022-26134,CVE-2022-26134,,,"{""phase"": ""supply_chain_intelligence_layer"", ""evidence"": ""Direct AFFECTS relationship from CVE"", ""relationship_type"": ""sbom_cve_correlation"", ""cve_id"": ""CVE-2022-26134"", ""confidence_score"": 0.8, ""discovered_date"": ""2025-11-01T13:29:21.296549""}"
Equipment,,CVE-2022-26352,CVE-2022-26352,,,"{""phase"": ""supply_chain_intelligence_layer"", ""evidence"": ""Direct AFFECTS relationship from CVE"", ""relationship_type"": ""sbom_cve_correlation"", ""cve_id"": ""CVE-2022-26352"", ""confidence_score"": 0.8, ""discovered_date"": ""2025-11-01T13:29:21.296549""}"
Equipment,,CVE-2022-27518,CVE-2022-27518,,,"{""phase"": ""supply_chain_intelligence_layer"", ""evidence"": ""Direct AFFECTS relationship from CVE"", ""relationship_type"": ""sbom_cve_correlation"", ""cve_id"": ""CVE-2022-27518"", ""confidence_score"": 0.8, ""discovered_date"": ""2025-11-01T13:29:21.296549""}"
Equipment,,CVE-2022-2856,CVE-2022-2856,,,"{""phase"": ""supply_chain_intelligence_layer"", ""evidence"": ""Direct AFFECTS relationship from CVE"", ""relationship_type"": ""sbom_cve_correlation"", ""cve_id"": ""CVE-2022-2856"", ""confidence_score"": 0.8, ""discovered_date"": ""2025-11-01T13:29:21.296549""}"
Equipment,,CVE-2022-30190,CVE-2022-30190,,,"{""phase"": ""supply_chain_intelligence_layer"", ""evidence"": ""Direct AFFECTS relationship from CVE"", ""relationship_type"": ""sbom_cve_correlation"", ""cve_id"": ""CVE-2022-30190"", ""confidence_score"": 0.8, ""discovered_date"": ""2025-11-01T13:29:21.296549""}"
Equipment,,CVE-2022-30333,CVE-2022-30333,,,"{""phase"": ""supply_chain_intelligence_layer"", ""evidence"": ""Direct AFFECTS relationship from CVE"", ""relationship_type"": ""sbom_cve_correlation"", ""cve_id"": ""CVE-2022-30333"", ""confidence_score"": 0.8, ""discovered_date"": ""2025-11-01T13:29:21.296549""}"
Equipment,,CVE-2022-30525,CVE-2022-30525,,,"{""phase"": ""supply_chain_intelligence_layer"", ""evidence"": ""Direct AFFECTS relationship from CVE"", ""relationship_type"": ""sbom_cve_correlation"", ""cve_id"": ""CVE-2022-30525"", ""confidence_score"": 0.8, ""discovered_date"": ""2025-11-01T13:29:21.296549""}"
Equipment,,CVE-2022-30525,CVE-2022-30525,,,"{""phase"": ""supply_chain_intelligence_layer"", ""evidence"": ""Direct AFFECTS relationship from CVE"", ""relationship_type"": ""sbom_cve_correlation"", ""cve_id"": ""CVE-2022-30525"", ""confidence_score"": 0.8, ""discovered_date"": ""2025-11-01T13:29:21.296549""}"
Equipment,,CVE-2022-3236,CVE-2022-3236,,,"{""phase"": ""supply_chain_intelligence_layer"", ""evidence"": ""Direct AFFECTS relationship from CVE"", ""relationship_type"": ""sbom_cve_correlation"", ""cve_id"": ""CVE-2022-3236"", ""confidence_score"": 0.8, ""discovered_date"": ""2025-11-01T13:29:21.296549""}"
Equipment,,CVE-2022-37969,CVE-2022-37969,,,"{""phase"": ""supply_chain_intelligence_layer"", ""evidence"": ""Direct AFFECTS relationship from CVE"", ""relationship_type"": ""sbom_cve_correlation"", ""cve_id"": ""CVE-2022-37969"", ""confidence_score"": 0.8, ""discovered_date"": ""2025-11-01T13:29:21.296549""}"
Equipment,,CVE-2022-40139,CVE-2022-40139,,,"{""phase"": ""supply_chain_intelligence_layer"", ""evidence"": ""Direct AFFECTS relationship from CVE"", ""relationship_type"": ""sbom_cve_correlation"", ""cve_id"": ""CVE-2022-40139"", ""confidence_score"": 0.8, ""discovered_date"": ""2025-11-01T13:29:21.296549""}"
Equipment,,CVE-2022-42475,CVE-2022-42475,,,"{""phase"": ""supply_chain_intelligence_layer"", ""evidence"": ""Direct AFFECTS relationship from CVE"", ""relationship_type"": ""sbom_cve_correlation"", ""cve_id"": ""CVE-2022-42475"", ""confidence_score"": 0.8, ""discovered_date"": ""2025-11-01T13:29:21.296549""}"
Equipment,,CVE-2022-42856,CVE-2022-42856,,,"{""phase"": ""supply_chain_intelligence_layer"", ""evidence"": ""Direct AFFECTS relationship from CVE"", ""relationship_type"": ""sbom_cve_correlation"", ""cve_id"": ""CVE-2022-42856"", ""confidence_score"": 0.8, ""discovered_date"": ""2025-11-01T13:29:21.296549""}"
Equipment,,CVE-2022-44698,CVE-2022-44698,,,"{""phase"": ""supply_chain_intelligence_layer"", ""evidence"": ""Direct AFFECTS relationship from CVE"", ""relationship_type"": ""sbom_cve_correlation"", ""cve_id"": ""CVE-2022-44698"", ""confidence_score"": 0.8, ""discovered_date"": ""2025-11-01T13:29:21.296549""}"
Equipment,,CVE-2023-27997,CVE-2023-27997,,,"{""phase"": ""supply_chain_intelligence_layer"", ""evidence"": ""Direct AFFECTS relationship from CVE"", ""relationship_type"": ""sbom_cve_correlation"", ""cve_id"": ""CVE-2023-27997"", ""confidence_score"": 0.8, ""discovered_date"": ""2025-11-01T13:29:21.296549""}"
Equipment,,CVE-2023-27997,CVE-2023-27997,,,"{""phase"": ""supply_chain_intelligence_layer"", ""evidence"": ""Direct AFFECTS relationship from CVE"", ""relationship_type"": ""sbom_cve_correlation"", ""cve_id"": ""CVE-2023-27997"", ""confidence_score"": 0.8, ""discovered_date"": ""2025-11-01T13:29:21.296549""}"
Equipment,,CVE-2023-2868,CVE-2023-2868,,,"{""phase"": ""supply_chain_intelligence_layer"", ""evidence"": ""Direct AFFECTS relationship from CVE"", ""relationship_type"": ""sbom_cve_correlation"", ""cve_id"": ""CVE-2023-2868"", ""confidence_score"": 0.8, ""discovered_date"": ""2025-11-01T13:29:21.296549""}"
Equipment,,CVE-2023-30799,CVE-2023-30799,,,"{""phase"": ""supply_chain_intelligence_layer"", ""evidence"": ""Direct AFFECTS relationship from CVE"", ""relationship_type"": ""sbom_cve_correlation"", ""cve_id"": ""CVE-2023-30799"", ""confidence_score"": 0.8, ""discovered_date"": ""2025-11-01T13:29:21.296549""}"
Equipment,,CVE-2023-30799,CVE-2023-30799,,,"{""phase"": ""supply_chain_intelligence_layer"", ""evidence"": ""Direct AFFECTS relationship from CVE"", ""relationship_type"": ""sbom_cve_correlation"", ""cve_id"": ""CVE-2023-30799"", ""confidence_score"": 0.8, ""discovered_date"": ""2025-11-01T13:29:21.296549""}"
Equipment,,CVE-2023-46805,CVE-2023-46805,,,"{""phase"": ""supply_chain_intelligence_layer"", ""evidence"": ""Direct AFFECTS relationship from CVE"", ""relationship_type"": ""sbom_cve_correlation"", ""cve_id"": ""CVE-2023-46805"", ""confidence_score"": 0.8, ""discovered_date"": ""2025-11-01T13:29:21.296549""}"
Equipment,,CVE-2024-21887,CVE-2024-21887,,,"{""phase"": ""supply_chain_intelligence_layer"", ""evidence"": ""Direct AFFECTS relationship from CVE"", ""relationship_type"": ""sbom_cve_correlation"", ""cve_id"": ""CVE-2024-21887"", ""confidence_score"": 0.8, ""discovered_date"": ""2025-11-01T13:29:21.296549""}"
Equipment,,CVE-2024-21887,CVE-2024-21887,,,"{""phase"": ""supply_chain_intelligence_layer"", ""evidence"": ""Direct AFFECTS relationship from CVE"", ""relationship_type"": ""sbom_cve_correlation"", ""cve_id"": ""CVE-2024-21887"", ""confidence_score"": 0.8, ""discovered_date"": ""2025-11-01T13:29:21.296549""}"
Equipment,,CVE-2024-21887,CVE-2024-21887,,,"{""phase"": ""supply_chain_intelligence_layer"", ""evidence"": ""Direct AFFECTS relationship from CVE"", ""relationship_type"": ""sbom_cve_correlation"", ""cve_id"": ""CVE-2024-21887"", ""confidence_score"": 0.8, ""discovered_date"": ""2025-11-01T13:29:21.296549""}"
Device,,CVE-2024-4001,,HIGH,,"{""severity"": ""HIGH"", ""mitigationStatus"": ""Pending"", ""discoveredDate"": ""2025-10-31T07:27:37.403000000+00:00""}"
Device,,CVE-2024-4001,,HIGH,,"{""severity"": ""HIGH"", ""mitigationStatus"": ""Pending"", ""discoveredDate"": ""2025-10-31T07:27:37.403000000+00:00""}"
Device,,CVE-2024-4001,,HIGH,,"{""severity"": ""HIGH"", ""mitigationStatus"": ""Pending"", ""discoveredDate"": ""2025-10-31T07:27:37.403000000+00:00""}"
Device,,CVE-2024-4001,,HIGH,,"{""severity"": ""HIGH"", ""mitigationStatus"": ""Pending"", ""discoveredDate"": ""2025-10-31T07:27:37.403000000+00:00""}"
Device,,CVE-2024-4001,,HIGH,,"{""severity"": ""HIGH"", ""mitigationStatus"": ""Pending"", ""discoveredDate"": ""2025-10-31T07:27:37.403000000+00:00""}"
Device,,CVE-2024-4001,,HIGH,,"{""severity"": ""HIGH"", ""mitigationStatus"": ""Pending"", ""discoveredDate"": ""2025-10-31T07:27:37.403000000+00:00""}"
Device,,CVE-2024-4001,,HIGH,,"{""severity"": ""HIGH"", ""mitigationStatus"": ""Pending"", ""discoveredDate"": ""2025-10-31T07:27:37.403000000+00:00""}"
Device,,CVE-2024-4001,,HIGH,,"{""severity"": ""HIGH"", ""mitigationStatus"": ""Pending"", ""discoveredDate"": ""2025-10-31T07:27:37.403000000+00:00""}"
Device,,CVE-2024-4001,,HIGH,,"{""severity"": ""HIGH"", ""mitigationStatus"": ""Pending"", ""discoveredDate"": ""2025-10-31T07:27:37.403000000+00:00""}"
Device,,CVE-2024-4001,,HIGH,,"{""severity"": ""HIGH"", ""mitigationStatus"": ""Pending"", ""discoveredDate"": ""2025-10-31T07:27:37.403000000+00:00""}"
Control,,CVE-2024-4001,,HIGH,,"{""severity"": ""HIGH"", ""mitigationStatus"": ""Pending"", ""discoveredDate"": ""2025-11-01T01:03:42.325000000+00:00"", ""waterSpecificRisk"": ""High""}"
Control,,CVE-2024-4001,,HIGH,,"{""severity"": ""HIGH"", ""mitigationStatus"": ""Pending"", ""discoveredDate"": ""2025-11-01T01:03:42.325000000+00:00"", ""waterSpecificRisk"": ""High""}"
Control,,CVE-2024-4001,,HIGH,,"{""severity"": ""HIGH"", ""mitigationStatus"": ""Pending"", ""discoveredDate"": ""2025-11-01T01:03:42.325000000+00:00"", ""waterSpecificRisk"": ""High""}"
Control,,CVE-2024-4001,,HIGH,,"{""severity"": ""HIGH"", ""mitigationStatus"": ""Pending"", ""discoveredDate"": ""2025-11-01T01:03:42.325000000+00:00"", ""waterSpecificRisk"": ""High""}"
Control,,CVE-2024-4001,,HIGH,,"{""severity"": ""HIGH"", ""mitigationStatus"": ""Pending"", ""discoveredDate"": ""2025-11-01T01:03:42.325000000+00:00"", ""waterSpecificRisk"": ""High""}"
Control,,CVE-2024-4001,,HIGH,,"{""severity"": ""HIGH"", ""mitigationStatus"": ""Pending"", ""discoveredDate"": ""2025-11-01T01:03:42.325000000+00:00"", ""waterSpecificRisk"": ""High""}"
Control,,CVE-2024-4001,,HIGH,,"{""severity"": ""HIGH"", ""mitigationStatus"": ""Pending"", ""discoveredDate"": ""2025-11-01T01:03:42.325000000+00:00"", ""waterSpecificRisk"": ""High""}"
System,CybersecurityKB:System:DOW_07_CCTV,cve-CVE-2013-1599,cve-CVE-2013-1599,,,"{""phase"": ""supply_chain_intelligence_layer"", ""evidence"": ""Direct AFFECTS relationship from CVE"", ""relationship_type"": ""sbom_cve_correlation"", ""cve_id"": ""cve-CVE-2013-1599"", ""confidence_score"": 0.8, ""discovered_date"": ""2025-11-01T13:29:21.296549""}"
System,CybersecurityKB:System:DOW_07_CCTV,cve-CVE-2013-1600,cve-CVE-2013-1600,,,"{""phase"": ""supply_chain_intelligence_layer"", ""evidence"": ""Direct AFFECTS relationship from CVE"", ""relationship_type"": ""sbom_cve_correlation"", ""cve_id"": ""cve-CVE-2013-1600"", ""confidence_score"": 0.8, ""discovered_date"": ""2025-11-01T13:29:21.296549""}"
System,CybersecurityKB:System:DOW_07_CCTV,cve-CVE-2013-1601,cve-CVE-2013-1601,,,"{""phase"": ""supply_chain_intelligence_layer"", ""evidence"": ""Direct AFFECTS relationship from CVE"", ""relationship_type"": ""sbom_cve_correlation"", ""cve_id"": ""cve-CVE-2013-1601"", ""confidence_score"": 0.8, ""discovered_date"": ""2025-11-01T13:29:21.296549""}"
System,CybersecurityKB:System:DOW_07_CCTV,cve-CVE-2013-1602,cve-CVE-2013-1602,,,"{""phase"": ""supply_chain_intelligence_layer"", ""evidence"": ""Direct AFFECTS relationship from CVE"", ""relationship_type"": ""sbom_cve_correlation"", ""cve_id"": ""cve-CVE-2013-1602"", ""confidence_score"": 0.8, ""discovered_date"": ""2025-11-01T13:29:21.296549""}"
System,CybersecurityKB:System:DOW_07_CCTV,cve-CVE-2013-1603,cve-CVE-2013-1603,,,"{""phase"": ""supply_chain_intelligence_layer"", ""evidence"": ""Direct AFFECTS relationship from CVE"", ""relationship_type"": ""sbom_cve_correlation"", ""cve_id"": ""cve-CVE-2013-1603"", ""confidence_score"": 0.8, ""discovered_date"": ""2025-11-01T13:29:21.296549""}"
System,CybersecurityKB:System:DOW_07_CCTV,cve-CVE-2013-2569,cve-CVE-2013-2569,,,"{""phase"": ""supply_chain_intelligence_layer"", ""evidence"": ""Direct AFFECTS relationship from CVE"", ""relationship_type"": ""sbom_cve_correlation"", ""cve_id"": ""cve-CVE-2013-2569"", ""confidence_score"": 0.8, ""discovered_date"": ""2025-11-01T13:29:21.296549""}"
Control,,cve-CVE-2015-10091,,UNKNOWN,,"{""severity"": ""UNKNOWN"", ""mitigationStatus"": ""Pending"", ""discoveredDate"": ""2025-11-01T01:03:42.325000000+00:00"", ""waterSpecificRisk"": ""High""}"
Control,,cve-CVE-2015-10091,,UNKNOWN,,"{""severity"": ""UNKNOWN"", ""mitigationStatus"": ""Pending"", ""discoveredDate"": ""2025-11-01T01:03:42.325000000+00:00"", ""waterSpecificRisk"": ""High""}"
Control,,cve-CVE-2015-10091,,UNKNOWN,,"{""severity"": ""UNKNOWN"", ""mitigationStatus"": ""Pending"", ""discoveredDate"": ""2025-11-01T01:03:42.325000000+00:00"", ""waterSpecificRisk"": ""High""}"
Control,,cve-CVE-2015-10091,,UNKNOWN,,"{""severity"": ""UNKNOWN"", ""mitigationStatus"": ""Pending"", ""discoveredDate"": ""2025-11-01T01:03:42.325000000+00:00"", ""waterSpecificRisk"": ""High""}"
Control,,cve-CVE-2015-10091,,UNKNOWN,,"{""severity"": ""UNKNOWN"", ""mitigationStatus"": ""Pending"", ""discoveredDate"": ""2025-11-01T01:03:42.325000000+00:00"", ""waterSpecificRisk"": ""High""}"
Control,,cve-CVE-2015-10091,,UNKNOWN,,"{""severity"": ""UNKNOWN"", ""mitigationStatus"": ""Pending"", ""discoveredDate"": ""2025-11-01T01:03:42.325000000+00:00"", ""waterSpecificRisk"": ""High""}"
Control,,cve-CVE-2015-10091,,UNKNOWN,,"{""severity"": ""UNKNOWN"", ""mitigationStatus"": ""Pending"", ""discoveredDate"": ""2025-11-01T01:03:42.325000000+00:00"", ""waterSpecificRisk"": ""High""}"
Control,,cve-CVE-2015-10091,,UNKNOWN,,"{""severity"": ""UNKNOWN"", ""mitigationStatus"": ""Pending"", ""discoveredDate"": ""2025-11-01T01:03:42.325000000+00:00"", ""waterSpecificRisk"": ""High""}"
System,CybersecurityKB:System:DOW_07_CCTV,cve-CVE-2019-10579,cve-CVE-2019-10579,,,"{""phase"": ""supply_chain_intelligence_layer"", ""evidence"": ""Direct AFFECTS relationship from CVE"", ""relationship_type"": ""sbom_cve_correlation"", ""cve_id"": ""cve-CVE-2019-10579"", ""confidence_score"": 0.8, ""discovered_date"": ""2025-11-01T13:29:21.296549""}"
System,CybersecurityKB:System:DOW_07_CCTV,cve-CVE-2019-10583,cve-CVE-2019-10583,,,"{""phase"": ""supply_chain_intelligence_layer"", ""evidence"": ""Direct AFFECTS relationship from CVE"", ""relationship_type"": ""sbom_cve_correlation"", ""cve_id"": ""cve-CVE-2019-10583"", ""confidence_score"": 0.8, ""discovered_date"": ""2025-11-01T13:29:21.296549""}"
Device,,cve-CVE-2019-10995,,UNKNOWN,,"{""severity"": ""UNKNOWN"", ""mitigationStatus"": ""Pending"", ""discoveredDate"": ""2025-10-31T07:27:44.282000000+00:00""}"
Device,,cve-CVE-2019-10995,,UNKNOWN,,"{""severity"": ""UNKNOWN"", ""mitigationStatus"": ""Pending"", ""discoveredDate"": ""2025-10-31T07:27:44.282000000+00:00""}"
Device,,cve-CVE-2019-10995,,UNKNOWN,,"{""severity"": ""UNKNOWN"", ""mitigationStatus"": ""Pending"", ""discoveredDate"": ""2025-10-31T07:27:44.282000000+00:00""}"
Device,,cve-CVE-2019-10995,,UNKNOWN,,"{""severity"": ""UNKNOWN"", ""mitigationStatus"": ""Pending"", ""discoveredDate"": ""2025-10-31T07:27:44.282000000+00:00""}"
Device,,cve-CVE-2019-10995,,UNKNOWN,,"{""severity"": ""UNKNOWN"", ""mitigationStatus"": ""Pending"", ""discoveredDate"": ""2025-10-31T07:27:44.282000000+00:00""}"
Device,,cve-CVE-2019-10995,,UNKNOWN,,"{""severity"": ""UNKNOWN"", ""mitigationStatus"": ""Pending"", ""discoveredDate"": ""2025-10-31T07:27:44.282000000+00:00""}"
Device,,cve-CVE-2019-10995,,UNKNOWN,,"{""severity"": ""UNKNOWN"", ""mitigationStatus"": ""Pending"", ""discoveredDate"": ""2025-10-31T07:27:44.282000000+00:00""}"
Device,,cve-CVE-2019-10995,,UNKNOWN,,"{""severity"": ""UNKNOWN"", ""mitigationStatus"": ""Pending"", ""discoveredDate"": ""2025-10-31T07:27:44.282000000+00:00""}"
Device,,cve-CVE-2019-10995,,UNKNOWN,,"{""severity"": ""UNKNOWN"", ""mitigationStatus"": ""Pending"", ""discoveredDate"": ""2025-10-31T07:27:44.282000000+00:00""}"
Device,,cve-CVE-2019-10995,,UNKNOWN,,"{""severity"": ""UNKNOWN"", ""mitigationStatus"": ""Pending"", ""discoveredDate"": ""2025-10-31T07:27:44.282000000+00:00""}"
Device,,cve-CVE-2019-10995,,UNKNOWN,,"{""severity"": ""UNKNOWN"", ""mitigationStatus"": ""Pending"", ""discoveredDate"": ""2025-10-31T07:27:44.282000000+00:00""}"
Device,,cve-CVE-2019-10995,,UNKNOWN,,"{""severity"": ""UNKNOWN"", ""mitigationStatus"": ""Pending"", ""discoveredDate"": ""2025-10-31T07:27:44.282000000+00:00""}"
Device,,cve-CVE-2019-10995,,UNKNOWN,,"{""severity"": ""UNKNOWN"", ""mitigationStatus"": ""Pending"", ""discoveredDate"": ""2025-10-31T07:27:44.282000000+00:00""}"
Device,,cve-CVE-2019-13519,,UNKNOWN,,"{""severity"": ""UNKNOWN"", ""mitigationStatus"": ""Pending"", ""discoveredDate"": ""2025-10-31T07:27:37.403000000+00:00""}"
Device,,cve-CVE-2019-13519,,UNKNOWN,,"{""severity"": ""UNKNOWN"", ""mitigationStatus"": ""Pending"", ""discoveredDate"": ""2025-10-31T07:27:37.403000000+00:00""}"
Device,,cve-CVE-2019-13519,,UNKNOWN,,"{""severity"": ""UNKNOWN"", ""mitigationStatus"": ""Pending"", ""discoveredDate"": ""2025-10-31T07:27:37.403000000+00:00""}"
Device,,cve-CVE-2019-13519,,UNKNOWN,,"{""severity"": ""UNKNOWN"", ""mitigationStatus"": ""Pending"", ""discoveredDate"": ""2025-10-31T07:27:37.403000000+00:00""}"
Device,,cve-CVE-2019-13519,,UNKNOWN,,"{""severity"": ""UNKNOWN"", ""mitigationStatus"": ""Pending"", ""discoveredDate"": ""2025-10-31T07:27:37.403000000+00:00""}"
Device,,cve-CVE-2019-13519,,UNKNOWN,,"{""severity"": ""UNKNOWN"", ""mitigationStatus"": ""Pending"", ""discoveredDate"": ""2025-10-31T07:27:37.403000000+00:00""}"
Device,,cve-CVE-2019-13519,,UNKNOWN,,"{""severity"": ""UNKNOWN"", ""mitigationStatus"": ""Pending"", ""discoveredDate"": ""2025-10-31T07:27:37.403000000+00:00""}"
Device,,cve-CVE-2019-13519,,UNKNOWN,,"{""severity"": ""UNKNOWN"", ""mitigationStatus"": ""Pending"", ""discoveredDate"": ""2025-10-31T07:27:37.403000000+00:00""}"
Device,,cve-CVE-2019-13519,,UNKNOWN,,"{""severity"": ""UNKNOWN"", ""mitigationStatus"": ""Pending"", ""discoveredDate"": ""2025-10-31T07:27:37.403000000+00:00""}"
Device,,cve-CVE-2019-13519,,UNKNOWN,,"{""severity"": ""UNKNOWN"", ""mitigationStatus"": ""Pending"", ""discoveredDate"": ""2025-10-31T07:27:37.403000000+00:00""}"
Device,,cve-CVE-2019-13519,,UNKNOWN,,"{""severity"": ""UNKNOWN"", ""mitigationStatus"": ""Pending"", ""discoveredDate"": ""2025-10-31T07:27:37.403000000+00:00""}"
Control,,cve-CVE-2019-13519,,UNKNOWN,,"{""severity"": ""UNKNOWN"", ""mitigationStatus"": ""Pending"", ""discoveredDate"": ""2025-11-01T01:03:42.325000000+00:00"", ""waterSpecificRisk"": ""High""}"
Control,,cve-CVE-2019-13519,,UNKNOWN,,"{""severity"": ""UNKNOWN"", ""mitigationStatus"": ""Pending"", ""discoveredDate"": ""2025-11-01T01:03:42.325000000+00:00"", ""waterSpecificRisk"": ""High""}"
Control,,cve-CVE-2019-13519,,UNKNOWN,,"{""severity"": ""UNKNOWN"", ""mitigationStatus"": ""Pending"", ""discoveredDate"": ""2025-11-01T01:03:42.325000000+00:00"", ""waterSpecificRisk"": ""High""}"
Control,,cve-CVE-2019-13519,,UNKNOWN,,"{""severity"": ""UNKNOWN"", ""mitigationStatus"": ""Pending"", ""discoveredDate"": ""2025-11-01T01:03:42.325000000+00:00"", ""waterSpecificRisk"": ""High""}"
Control,,cve-CVE-2019-13519,,UNKNOWN,,"{""severity"": ""UNKNOWN"", ""mitigationStatus"": ""Pending"", ""discoveredDate"": ""2025-11-01T01:03:42.325000000+00:00"", ""waterSpecificRisk"": ""High""}"
Control,,cve-CVE-2019-13519,,UNKNOWN,,"{""severity"": ""UNKNOWN"", ""mitigationStatus"": ""Pending"", ""discoveredDate"": ""2025-11-01T01:03:42.325000000+00:00"", ""waterSpecificRisk"": ""High""}"
Control,,cve-CVE-2019-13519,,UNKNOWN,,"{""severity"": ""UNKNOWN"", ""mitigationStatus"": ""Pending"", ""discoveredDate"": ""2025-11-01T01:03:42.325000000+00:00"", ""waterSpecificRisk"": ""High""}"
Control,,cve-CVE-2019-13519,,UNKNOWN,,"{""severity"": ""UNKNOWN"", ""mitigationStatus"": ""Pending"", ""discoveredDate"": ""2025-11-01T01:03:42.325000000+00:00"", ""waterSpecificRisk"": ""High""}"
Device,,cve-CVE-2019-13521,,UNKNOWN,,"{""severity"": ""UNKNOWN"", ""mitigationStatus"": ""Pending"", ""discoveredDate"": ""2025-10-31T07:27:37.403000000+00:00""}"
Device,,cve-CVE-2019-13521,,UNKNOWN,,"{""severity"": ""UNKNOWN"", ""mitigationStatus"": ""Pending"", ""discoveredDate"": ""2025-10-31T07:27:37.403000000+00:00""}"
Device,,cve-CVE-2019-13521,,UNKNOWN,,"{""severity"": ""UNKNOWN"", ""mitigationStatus"": ""Pending"", ""discoveredDate"": ""2025-10-31T07:27:37.403000000+00:00""}"
Device,,cve-CVE-2019-13521,,UNKNOWN,,"{""severity"": ""UNKNOWN"", ""mitigationStatus"": ""Pending"", ""discoveredDate"": ""2025-10-31T07:27:37.403000000+00:00""}"
Device,,cve-CVE-2019-13521,,UNKNOWN,,"{""severity"": ""UNKNOWN"", ""mitigationStatus"": ""Pending"", ""discoveredDate"": ""2025-10-31T07:27:37.403000000+00:00""}"
Device,,cve-CVE-2019-13521,,UNKNOWN,,"{""severity"": ""UNKNOWN"", ""mitigationStatus"": ""Pending"", ""discoveredDate"": ""2025-10-31T07:27:37.403000000+00:00""}"
Device,,cve-CVE-2019-13521,,UNKNOWN,,"{""severity"": ""UNKNOWN"", ""mitigationStatus"": ""Pending"", ""discoveredDate"": ""2025-10-31T07:27:37.403000000+00:00""}"
Device,,cve-CVE-2019-13521,,UNKNOWN,,"{""severity"": ""UNKNOWN"", ""mitigationStatus"": ""Pending"", ""discoveredDate"": ""2025-10-31T07:27:37.403000000+00:00""}"
