Name,Type,City,State,Beds,Location,Phone
Barnes-Jewish West County Hospital,General Acute Care,Creve Coeur,MO,100,"12634 Olive Blvd, Creve Coeur, MO 63141",(314) 996-8000
Mercy Hospital Stoddard,Critical Access,Dexter,MO,43,"1200 N One Mile Rd, Dexter, MO 63841",(573) 624-5566
Parkland Health Center Farmington,General Acute Care,Farmington,MO,108,"1101 W Liberty St, Farmington, MO 63640",(573) 756-6451
SSM Health St. Clare Hospital - Fenton,General Acute Care,Fenton,MO,180,"1015 Bowles Ave, Fenton, MO 63026",(636) 496-2000
Mercy Hospital Jefferson,General Acute Care,Festus,MO,157,"1400 US Hwy 61 S, Festus, MO 63028",(636) 933-1000
Hannibal Regional Hospital,General Acute Care,Hannibal,MO,99,"6000 Hospital Dr, Hannibal, MO 63401",(573) 248-1300
Pemiscot Memorial Hospital,General Acute Care,Hayti,MO,108,"946 E Reed St, Hayti, MO 63851",(573) 359-1372
Texas County Memorial Hospital,General Acute Care,Houston,MO,47,"1333 S Sam Houston Blvd, Houston, MO 65483",(417) 967-3311
Centerpoint Medical Center,General Acute Care,Independence,MO,369,"19600 E 39th St, Independence, MO 64057",(816) 698-7000
SSM Health Saint Mary's Hospital - Jefferson City,General Acute Care,Jefferson City,MO,154,"2505 Mission Dr, Jefferson City, MO 65109",(573) 681-3000
Capital Region Medical Center,General Acute Care,Jefferson City,MO,114,"1125 Madison St, Jefferson City, MO 65101",(573) 632-5000
Freeman Hospital West,General Acute Care,Joplin,MO,378,"1102 W 32nd St, Joplin, MO 64804",(417) 347-1111
Mercy Hospital Joplin,General Acute Care,Joplin,MO,242,"2817 St Johns Blvd, Joplin, MO 64804",(417) 781-2727
Saint Luke's Hospital of Kansas City,Academic Medical Center,Kansas City,MO,456,"4401 Wornall Rd, Kansas City, MO 64111",(816) 932-2000
Research Medical Center,General Acute Care,Kansas City,MO,412,"2316 E Meyer Blvd, Kansas City, MO 64132",(816) 276-4000
University Health Lakewood Medical Center,General Acute Care,Kansas City,MO,305,"7900 Lees Summit Rd, Kansas City, MO 64139",(816) 404-7000
Saint Joseph Medical Center,General Acute Care,Kansas City,MO,272,"1000 Carondelet Dr, Kansas City, MO 64114",(816) 942-4400
University Health Truman Medical Center,Academic Medical Center,Kansas City,MO,260,"2301 Holmes St, Kansas City, MO 64108",(816) 404-1000
Northeast Regional Medical Center,General Acute Care,Kirksville,MO,41,"315 S Osteopathy Ave, Kirksville, MO 63501",(660) 785-1000
SSM Health Saint Joseph Hospital - Lake Saint Louis,General Acute Care,Lake Saint Louis,MO,215,"100 Medical Plaza, Lake Saint Louis, MO 63367",(636) 625-5200
Mercy Hospital Lebanon,General Acute Care,Lebanon,MO,43,"100 Hospital Dr, Lebanon, MO 65536",(417) 533-6100
Saint Luke's East Hospital,General Acute Care,Lee's Summit,MO,216,"100 NE Saint Lukes Blvd, Lee's Summit, MO 64086",(816) 347-5000
Lee's Summit Medical Center,General Acute Care,Lee's Summit,MO,88,"2100 SE Blue Pkwy, Lee's Summit, MO 64063",(816) 282-5000
Liberty Hospital,General Acute Care,Liberty,MO,199,"2525 Glenn Hendren Dr, Liberty, MO 64068",(816) 781-7200
Fitzgibbon Hospital,General Acute Care,Marshall,MO,52,"2305 S 65 Hwy, Marshall, MO 65340",(660) 886-7431
Moberly Regional Medical Center,General Acute Care,Moberly,MO,59,"1515 Union Ave, Moberly, MO 65270",(660) 263-8400
Nevada Regional Medical Center,General Acute Care,Nevada,MO,71,"800 S Ash St, Nevada, MO 64772",(417) 667-3355
NKC Health Hospital,General Acute Care,North Kansas City,MO,433,"2800 Clay Edwards Dr, North Kansas City, MO 64116",(816) 691-2000
Progress West Hospital,General Acute Care,O'Fallon,MO,69,"2 Progress Point Pkwy, O'Fallon, MO 63368",(636) 344-1000
Lake Regional Hospital,General Acute Care,Osage Beach,MO,121,"54 Hospital Dr, Osage Beach, MO 65065",(573) 348-8000
Poplar Bluff Regional Medical Center,General Acute Care,Poplar Bluff,MO,195,"2620 N Westwood Blvd, Poplar Bluff, MO 63901",(573) 785-7721
Phelps Health Hospital,General Acute Care,Rolla,MO,240,"1000 W 10th St, Rolla, MO 65401",(573) 458-8899
SSM Health Saint Joseph Hospital-Saint Charles,General Acute Care,Saint Charles,MO,399,"300 1st Capitol Dr, Saint Charles, MO 63301",(636) 947-5000
Mosaic Life Care at St. Joseph - Medical Center,General Acute Care,Saint Joseph,MO,348,"5325 Faraon St, Saint Joseph, MO 64506",(816) 271-6000
Bothwell Regional Health Center,General Acute Care,Sedalia,MO,71,"601 E 14th St, Sedalia, MO 65301",(660) 826-8833
Missouri Delta Medical Center,General Acute Care,Sikeston,MO,132,"1008 N Main St, Sikeston, MO 63801",(573) 471-1600
Saint Luke's North Hospital - Smithville,General Acute Care,Smithville,MO,134,"601 S US Hwy 169, Smithville, MO 64089",(816) 532-3700
Cox North Hospital,General Acute Care,Springfield,MO,869,"1423 N Jefferson Ave, Springfield, MO 65802",(417) 269-3000
Mercy Hospital Springfield,General Acute Care,Springfield,MO,611,"1235 E Cherokee St, Springfield, MO 65804",(417) 820-2000
Barnes-Jewish Hospital,Academic Medical Center,St. Louis,MO,1279,"1 Barnes Jewish Hospital Plaza, St. Louis, MO 63110",(314) 747-3000
Mercy Hospital St. Louis,General Acute Care,St. Louis,MO,795,"615 S New Ballas Rd, St. Louis, MO 63141",(314) 569-6000
Mercy Hospital South,General Acute Care,St. Louis,MO,725,"10010 Kennerly Rd, St. Louis, MO 63128",(314) 525-1000
SSM Health Saint Mary's Hospital - Saint Louis,General Acute Care,St. Louis,MO,534,"6420 Clayton Rd, St. Louis, MO 63117",(314) 768-8000
SSM Health Saint Louis University Hospital,Academic Medical Center,St. Louis,MO,422,"3635 Vista Ave, St. Louis, MO 63110",(314) 577-8000
Missouri Baptist Medical Center,General Acute Care,St. Louis,MO,412,"3015 N Ballas Rd, St. Louis, MO 63131",(314) 996-5000
Christian Hospital,General Acute Care,St. Louis,MO,274,"11133 Dunn Rd, St. Louis, MO 63136",(314) 653-5000
Barnes-Jewish St. Peters Hospital,General Acute Care,St. Peters,MO,110,"10 Hospital Dr, St. Peters, MO 63376",(636) 916-9000
Western Missouri Medical Center,General Acute Care,Warrensburg,MO,45,"403 Burkarth Rd, Warrensburg, MO 64093",(660) 747-2500
Mercy Hospital Washington,General Acute Care,Washington,MO,140,"901 E 5th St, Washington, MO 63090",(636) 239-8000
SSM Health Saint Joseph Hospital - Wentzville,General Acute Care,Wentzville,MO,86,"500 Medical Dr, Wentzville, MO 63385",(636) 327-5000
Ozarks Medical Center,General Acute Care,West Plains,MO,111,"1100 Kentucky Ave, West Plains, MO 65775",(417) 257-6700
